chr,pos,enzyme
AL591824.1,6288,1
AL591824.1,6599,1
AL591824.1,6726,1
AL591824.1,9879,1
AL591824.1,14073,1
AL591824.1,17286,1
AL591824.1,26417,1
AL591824.1,27170,1
AL591824.1,28698,1
AL591824.1,29745,1
AL591824.1,30413,1
AL591824.1,38748,1
AL591824.1,40005,1
AL591824.1,50771,1
AL591824.1,60440,1
AL591824.1,60697,1
AL591824.1,61730,1
AL591824.1,64336,1
AL591824.1,64746,1
AL591824.1,67233,1
AL591824.1,67577,1
AL591824.1,67716,1
AL591824.1,68520,1
AL591824.1,70453,1
AL591824.1,71866,1
AL591824.1,75029,1
AL591824.1,75908,1
AL591824.1,77418,1
AL591824.1,80648,1
AL591824.1,89146,1
AL591824.1,91083,1
AL591824.1,103215,1
AL591824.1,104598,1
AL591824.1,105180,1
AL591824.1,106136,1
AL591824.1,106427,1
AL591824.1,116555,1
AL591824.1,118341,1
AL591824.1,125720,1
AL591824.1,126654,1
AL591824.1,127655,1
AL591824.1,128184,1
AL591824.1,132482,1
AL591824.1,139102,1
AL591824.1,139278,1
AL591824.1,139950,1
AL591824.1,140526,1
AL591824.1,142209,1
AL591824.1,144888,1
AL591824.1,148063,1
AL591824.1,148240,1
AL591824.1,149009,1
AL591824.1,158120,1
AL591824.1,158276,1
AL591824.1,160982,1
AL591824.1,161887,1
AL591824.1,163136,1
AL591824.1,167833,1
AL591824.1,169183,1
AL591824.1,172124,1
AL591824.1,177583,1
AL591824.1,178643,1
AL591824.1,180364,1
AL591824.1,180556,1
AL591824.1,181521,1
AL591824.1,182091,1
AL591824.1,184531,1
AL591824.1,184778,1
AL591824.1,187296,1
AL591824.1,189616,1
AL591824.1,196452,1
AL591824.1,196721,1
AL591824.1,198517,1
AL591824.1,200686,1
AL591824.1,204329,1
AL591824.1,206216,1
AL591824.1,214884,1
AL591824.1,215331,1
AL591824.1,215430,1
AL591824.1,218315,1
AL591824.1,219279,1
AL591824.1,220451,1
AL591824.1,220673,1
AL591824.1,223854,1
AL591824.1,224686,1
AL591824.1,226415,1
AL591824.1,227441,1
AL591824.1,234506,1
AL591824.1,235928,1
AL591824.1,238149,1
AL591824.1,240209,1
AL591824.1,244170,1
AL591824.1,246230,1
AL591824.1,251353,1
AL591824.1,256376,1
AL591824.1,257562,1
AL591824.1,257882,1
AL591824.1,258587,1
AL591824.1,258659,1
AL591824.1,259339,1
AL591824.1,260664,1
AL591824.1,262487,1
AL591824.1,265787,1
AL591824.1,267165,1
AL591824.1,273203,1
AL591824.1,275955,1
AL591824.1,277052,1
AL591824.1,284378,1
AL591824.1,287826,1
AL591824.1,289574,1
AL591824.1,290231,1
AL591824.1,292688,1
AL591824.1,292826,1
AL591824.1,298677,1
AL591824.1,300733,1
AL591824.1,301621,1
AL591824.1,310357,1
AL591824.1,311420,1
AL591824.1,312433,1
AL591824.1,316536,1
AL591824.1,318472,1
AL591824.1,324645,1
AL591824.1,330809,1
AL591824.1,334351,1
AL591824.1,339518,1
AL591824.1,342424,1
AL591824.1,343574,1
AL591824.1,347750,1
AL591824.1,349502,1
AL591824.1,349674,1
AL591824.1,352253,1
AL591824.1,357646,1
AL591824.1,364168,1
AL591824.1,366304,1
AL591824.1,370684,1
AL591824.1,371891,1
AL591824.1,372698,1
AL591824.1,373568,1
AL591824.1,381219,1
AL591824.1,383324,1
AL591824.1,386470,1
AL591824.1,389606,1
AL591824.1,391123,1
AL591824.1,392879,1
AL591824.1,393062,1
AL591824.1,393580,1
AL591824.1,394888,1
AL591824.1,396042,1
AL591824.1,397816,1
AL591824.1,405000,1
AL591824.1,406972,1
AL591824.1,409574,1
AL591824.1,410562,1
AL591824.1,411566,1
AL591824.1,412616,1
AL591824.1,414335,1
AL591824.1,419647,1
AL591824.1,421882,1
AL591824.1,424828,1
AL591824.1,433588,1
AL591824.1,443823,1
AL591824.1,445696,1
AL591824.1,445778,1
AL591824.1,449364,1
AL591824.1,453258,1
AL591824.1,453817,1
AL591824.1,454209,1
AL591824.1,454284,1
AL591824.1,456767,1
AL591824.1,457297,1
AL591824.1,462581,1
AL591824.1,463094,1
AL591824.1,464363,1
AL591824.1,473408,1
AL591824.1,474115,1
AL591824.1,477283,1
AL591824.1,477614,1
AL591824.1,485609,1
AL591824.1,489467,1
AL591824.1,489544,1
AL591824.1,491381,1
AL591824.1,492765,1
AL591824.1,493151,1
AL591824.1,504032,1
AL591824.1,504141,1
AL591824.1,507743,1
AL591824.1,511521,1
AL591824.1,512525,1
AL591824.1,516410,1
AL591824.1,516489,1
AL591824.1,519941,1
AL591824.1,527814,1
AL591824.1,529973,1
AL591824.1,537233,1
AL591824.1,540714,1
AL591824.1,541198,1
AL591824.1,542633,1
AL591824.1,543380,1
AL591824.1,545567,1
AL591824.1,548410,1
AL591824.1,549345,1
AL591824.1,551164,1
AL591824.1,551904,1
AL591824.1,554410,1
AL591824.1,556385,1
AL591824.1,556662,1
AL591824.1,563672,1
AL591824.1,563679,1
AL591824.1,564832,1
AL591824.1,564971,1
AL591824.1,572442,1
AL591824.1,572524,1
AL591824.1,574040,1
AL591824.1,576883,1
AL591824.1,578066,1
AL591824.1,578987,1
AL591824.1,581374,1
AL591824.1,585581,1
AL591824.1,586172,1
AL591824.1,586890,1
AL591824.1,591178,1
AL591824.1,600218,1
AL591824.1,600239,1
AL591824.1,602680,1
AL591824.1,607398,1
AL591824.1,610641,1
AL591824.1,611857,1
AL591824.1,612013,1
AL591824.1,621923,1
AL591824.1,622143,1
AL591824.1,625409,1
AL591824.1,632479,1
AL591824.1,634842,1
AL591824.1,638180,1
AL591824.1,639385,1
AL591824.1,646171,1
AL591824.1,653211,1
AL591824.1,667379,1
AL591824.1,667868,1
AL591824.1,670047,1
AL591824.1,679136,1
AL591824.1,680603,1
AL591824.1,684588,1
AL591824.1,685619,1
AL591824.1,686707,1
AL591824.1,686905,1
AL591824.1,687139,1
AL591824.1,693200,1
AL591824.1,693437,1
AL591824.1,694430,1
AL591824.1,699916,1
AL591824.1,701294,1
AL591824.1,701468,1
AL591824.1,702845,1
AL591824.1,710257,1
AL591824.1,710681,1
AL591824.1,714874,1
AL591824.1,715353,1
AL591824.1,721180,1
AL591824.1,721967,1
AL591824.1,722639,1
AL591824.1,725231,1
AL591824.1,731646,1
AL591824.1,733781,1
AL591824.1,734054,1
AL591824.1,736556,1
AL591824.1,737003,1
AL591824.1,738952,1
AL591824.1,747500,1
AL591824.1,749976,1
AL591824.1,750547,1
AL591824.1,754147,1
AL591824.1,755097,1
AL591824.1,757337,1
AL591824.1,761204,1
AL591824.1,766588,1
AL591824.1,769344,1
AL591824.1,779820,1
AL591824.1,782397,1
AL591824.1,783910,1
AL591824.1,784656,1
AL591824.1,784806,1
AL591824.1,788947,1
AL591824.1,790296,1
AL591824.1,794218,1
AL591824.1,799250,1
AL591824.1,803390,1
AL591824.1,810856,1
AL591824.1,811611,1
AL591824.1,814907,1
AL591824.1,815703,1
AL591824.1,816052,1
AL591824.1,819359,1
AL591824.1,820470,1
AL591824.1,820661,1
AL591824.1,822083,1
AL591824.1,825864,1
AL591824.1,830508,1
AL591824.1,830547,1
AL591824.1,835897,1
AL591824.1,844894,1
AL591824.1,855522,1
AL591824.1,857172,1
AL591824.1,871194,1
AL591824.1,884808,1
AL591824.1,899352,1
AL591824.1,899600,1
AL591824.1,903478,1
AL591824.1,908386,1
AL591824.1,908807,1
AL591824.1,910163,1
AL591824.1,913728,1
AL591824.1,913883,1
AL591824.1,915302,1
AL591824.1,919519,1
AL591824.1,922836,1
AL591824.1,923473,1
AL591824.1,925283,1
AL591824.1,928029,1
AL591824.1,929209,1
AL591824.1,932833,1
AL591824.1,939976,1
AL591824.1,942597,1
AL591824.1,947572,1
AL591824.1,949995,1
AL591824.1,958410,1
AL591824.1,965792,1
AL591824.1,972391,1
AL591824.1,974218,1
AL591824.1,979211,1
AL591824.1,979831,1
AL591824.1,982952,1
AL591824.1,983696,1
AL591824.1,984713,1
AL591824.1,985080,1
AL591824.1,987942,1
AL591824.1,992007,1
AL591824.1,997134,1
AL591824.1,998210,1
AL591824.1,998352,1
AL591824.1,999917,1
AL591824.1,1006607,1
AL591824.1,1014530,1
AL591824.1,1018266,1
AL591824.1,1018829,1
AL591824.1,1019375,1
AL591824.1,1019516,1
AL591824.1,1019990,1
AL591824.1,1022595,1
AL591824.1,1026243,1
AL591824.1,1027194,1
AL591824.1,1032960,1
AL591824.1,1034083,1
AL591824.1,1034383,1
AL591824.1,1041299,1
